City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
67,Tuy Hoa,VN,82.53,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
73,Ewa Beach,US,78.75,few clouds,21.3156,-158.0072,Uncle Junior Robert
75,Hilo,US,73.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
77,Auki,SB,77.29,overcast clouds,-8.7676,160.7034,Auki Motel
79,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
86,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
88,Kalianget,ID,82.36,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
89,Union,US,73.29,light intensity drizzle,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
94,Lumby,CA,78.37,overcast clouds,50.2498,-118.969,Twin Creeks Motel
99,Avera,US,84.9,overcast clouds,33.194,-82.5271,
104,Sembe,CG,78.62,overcast clouds,1.6481,14.5806,
110,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Kismayo,SO,78.87,broken clouds,-0.3582,42.5454,Agan-Hotel
115,Portland,US,71.1,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
118,Nishihara,JP,82.45,broken clouds,26.1842,127.7558,Minshuku Agaihama
121,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
122,Butaritari,KI,82.17,light rain,3.0707,172.7902,Isles Sunset Lodge
125,Tilbury,GB,78.53,scattered clouds,51.4625,0.3586,Premier Inn Gravesend Central hotel
127,Namibe,AO,72.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
130,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
136,Isangel,VU,71.74,scattered clouds,-19.55,169.2667,Tanna Lodge
137,Nikolskoye,RU,71.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
141,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
146,Lodja,CD,72.57,light rain,-3.4833,23.4333,
148,Tromso,NO,72.25,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
150,Castro,BR,73.31,clear sky,-24.7911,-50.0119,CHACARA BAILLY
153,Punta,PH,78.66,overcast clouds,8.9897,125.34,Vyjannex boarding house
155,Liberty,US,84.52,broken clouds,31.8335,-81.5004,Sasser Trailer Park
159,Roald,NO,77.05,clear sky,62.5833,6.1333,Flem Cabins
162,Lata,PT,72.05,broken clouds,40.1629,-8.3327,Casa Maquia
165,Tura,IN,73.33,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
168,Half Moon Bay,US,71.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
172,Visp,CH,75.02,overcast clouds,46.2937,7.8815,Baxter Hotel
173,Cahors,FR,76.01,scattered clouds,44.4167,1.3333,Les Gîtes du Colombier
174,Kajaani,FI,73.45,clear sky,64.2273,27.7285,Original Sokos Hotel Valjus
175,Ambilobe,MG,72.63,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
176,Kampene,CD,71.38,overcast clouds,-3.6,26.6667,
182,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
183,Tevaitoa,PF,79.97,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
186,Sassandra,CI,84.06,broken clouds,4.95,-6.0833,la terrasse
